"Cycle","fips","County","State","From_Women","Dem_Fem_Pct","Repub_Fem_Pct"
"1992","55025","DANE","Wisconsin",216230,40.4317543499,20.1444324477
"1992","12011","BROWARD","Florida",762687,27.2439025111,30.1112685587
"1992","34011","CUMBERLAND","New Jersey",34875,26.7675050986,25.5989077799
"1992","18127","PORTER","Indiana",25950,25.6709451575,28.2961795116
"1992","27037","DAKOTA","Minnesota",53956,22.8201099764,26.5611950497
"1992","33013","MERRIMACK","New Hampshire",87489,29.5288481423,27.6627401337
"1992","26111","MIDLAND","Michigan",70284,33.3333333333,28.036490974
"1992","42133","YORK","Pennsylvania",91923,28.6163719482,28.0509814569
"1992","49035","SALT LAKE","Utah",283181,34.7531866797,24.6384355444
"1992","11001","DISTRICT OF COLUMBIA","District of Columbia",3720161,29.6677291946,21.9041190348
"1992","23005","CUMBERLAND","Maine",130416,30.7200172385,27.6525523946
"1992","21117","KENTON","Kentucky",52628,35.0124946669,24.9377628981
"1992","12057","HILLSBOROUGH","Florida",292724,25.7518732088,30.6791999973
"1992","12109","ST. JOHNS","Florida",48561,20.5934308584,29.199701042
"1992","06071","SAN BERNARDINO","California",238104,29.4318757775,29.6143160766
"1992","21111","JEFFERSON","Kentucky",334839,34.1855298404,25.6062282033
"1992","18003","ALLEN","Indiana",130801,19.5091961678,29.3648756161
"1992","18057","HAMILTON","Indiana",121928,34.2209399793,26.0185677582
"1992","33011","HILLSBOROUGH","New Hampshire",148568,30.2685612954,23.5613993543
"1992","48215","HIDALGO","Texas",38542,28.7775668627,26.1918965545
"1992","36061","NEW YORK","New York",7947778,28.7102308905,21.1416171074
"1992","51013","ARLINGTON","Virginia",476748,25.4932644925,25.9888782849
"1992","48453","TRAVIS","Texas",322295,26.7173926391,24.3470249592
"1992","22071","ORLEANS","Louisiana",280228,26.4359139856,25.5341516402
"1992","18089","LAKE","Indiana",100305,20.5498002573,29.0214266855
"1992","34019","HUNTERDON","New Jersey",73762,28.3525357744,26.193551248
"1992","08031","DENVER","Colorado",510782,27.2306378867,25.3979254379
"1992","40143","TULSA","Oklahoma",405486,28.7115973002,24.5516170952
"1992","42041","CUMBERLAND","Pennsylvania",81231,23.444024657,27.649892157
"1992","32003","CLARK","Nevada",563634,29.0084702323,26.1596189271
"1992","42029","CHESTER","Pennsylvania",303664,31.5243249482,22.009416542
"1992","53077","YAKIMA","Washington",35861,39.8792347975,22.0493405999
"1992","19113","LINN","Iowa",48661,45.4076367389,25.8428322001
"1992","08041","EL PASO","Colorado",69591,28.1668156814,23.5718534932
"1992","22055","LAFAYETTE","Louisiana",46864,28.9984930558,18.1522140531
"1992","29189","ST. LOUIS","Missouri",927204,29.5398051095,23.9474818429
"1992","40019","CARTER","Oklahoma",36400,17.5891912085,39.856557377
"1992","51041","CHESTERFIELD","Virginia",28349,31.7656429085,24.6068486623
"1992","20173","SEDGWICK","Kansas",204983,28.7629527407,27.129598287
"1992","21073","FRANKLIN","Kentucky",27015,14.3224332429,31.9958114574
"1992","29047","CLAY","Missouri",26993,25.6895619254,31.276486817
"1992","17031","COOK","Illinois",2955645,29.0400728375,20.145234942
"1992","33015","ROCKINGHAM","New Hampshire",143377,31.7164879478,22.9031029836
"1992","55079","MILWAUKEE","Wisconsin",323927,24.9846109183,25.2138827934
"1992","12061","INDIAN RIVER","Florida",52132,26.3470899978,23.620524521
"1992","25013","HAMPDEN","Massachusetts",118420,24.0832561434,25.4429722006
"1992","48355","NUECES","Texas",79695,17.4941804349,31.0329070668
"1992","06055","NAPA","California",50518,30.7017230923,22.1636254261
"1992","25027","WORCESTER","Massachusetts",179955,19.1749282419,26.3541730684
"1992","24510","BALTIMORE (CITY)","Maryland",217474,27.7759517692,19.4381367374
"1992","36027","DUTCHESS","New York",54933,37.4550917761,9.9361384207
"1992","25023","PLYMOUTH","Massachusetts",132957,29.4245749225,24.0133480646
"1992","02020","ANCHORAGE","Alaska",200181,28.0567042225,18.0098235401
"1992","53011","CLARK","Washington",47358,31.6286425266,24.0399588888
"1992","06029","KERN","California",104510,38.9769159205,20.8100165063
"1992","22017","CADDO","Louisiana",130432,22.4508582545,22.3870457321
"1992","09003","HARTFORD","Connecticut",399317,25.4609966816,23.1533397606
"1992","39049","FRANKLIN","Ohio",449464,29.4943564795,21.6319253839
"1992","12103","PINELLAS","Florida",115527,27.654335081,23.3071111012
"1992","48061","CAMERON","Texas",26627,10.603588907,37.1727158243
"1992","06113","YOLO","California",46717,31.2706238596,19.3163526181
"1992","13021","BIBB","Georgia",38434,22.6902824318,32.0749378073
"1992","17163","ST. CLAIR","Illinois",80822,25.0054195425,18.28821494
"1992","17089","KANE","Illinois",59777,35.9092834315,25.9874585789
"1992","12127","VOLUSIA","Florida",65590,20.4007863015,24.668459329
"1992","34039","UNION","New Jersey",291507,31.1800549675,15.8918594405
"1992","36055","MONROE","New York",136940,30.4682114267,20.5829079532
"1992","17043","DU PAGE","Illinois",375804,23.674834155,24.7893617168
"1992","13215","MUSCOGEE","Georgia",113068,21.0351985492,26.8818599082
"1992","29510","SAINT LOUIS CITY (CITY)","Missouri",144522,24.9110684058,18.6452981908
"1992","17201","WINNEBAGO","Illinois",63010,22.5752053528,20.9311078161
"1992","47001","ANDERSON","Tennessee",30585,27.0875763747,3.2929326471
"1992","34003","BERGEN","New Jersey",697472,23.1264111161,23.1866041196
"1992","13089","DE KALB","Georgia",265360,26.9822084224,20.1474505917
"1992","40147","WASHINGTON","Oklahoma",25542,31.8875502008,19.8422891195
"1992","46103","PENNINGTON","South Dakota",31275,24.7846255799,19.8075834748
"1992","39085","LAKE","Ohio",37522,16.0071942446,25.0061892423
"1992","45083","SPARTANBURG","South Carolina",54325,18.7604494732,22.5199458076
"1992","23031","YORK","Maine",27964,29.858898498,16.0405071119
"1992","24005","BALTIMORE","Maryland",228687,26.7543403031,19.7582399114
"1992","53053","PIERCE","Washington",76813,26.2931941059,21.1473976878
"1992","47037","DAVIDSON","Tennessee",362023,24.2744090932,19.7994987469
"1992","13067","COBB","Georgia",96603,29.250355543,18.5525557692
"1992","21067","FAYETTE","Kentucky",118300,23.0970249263,22.802945091
"1992","48141","EL PASO","Texas",77026,21.0210005587,21.7374771852
"1992","34001","ATLANTIC","New Jersey",39844,23.5286095579,21.6962524655
"1992","30111","YELLOWSTONE","Montana",45382,60.3645781452,12.7546971877
"1992","42011","BERKS","Pennsylvania",72146,25.6898310567,20.6015378625
"1992","12009","BREVARD","Florida",66501,19.6292601257,26.7780827039
"1992","19153","POLK","Iowa",173032,28.0694198756,18.8413163394
"1992","39099","MAHONING","Ohio",48771,22.14360587,21.8759525336
"1992","34007","CAMDEN","New Jersey",111844,22.9846847916,19.1494560518
"1992","22033","EAST BATON ROUGE","Louisiana",139965,24.2475548615,19.0317418999
"1992","47093","KNOX","Tennessee",99536,21.9002997828,22.7925085516
"1992","42021","CAMBRIA","Pennsylvania",32550,24.5970575698,16.7916041979
"1992","13313","WHITFIELD","Georgia",31017,27.9076224739,12.6431652536
"1992","20177","SHAWNEE","Kansas",41343,18.5648483072,25.4085161427
"1992","48479","WEBB","Texas",31626,17.8049996439,16.4050632911
"1992","01097","MOBILE","Alabama",108744,9.1949434464,25.3914251546
"1992","37127","NASH","North Carolina",27969,21.7750257998,20.3209224289
"1992","51700","NEWPORT NEWS (CITY)","Virginia",29729,24.8234106963,17.8762631862
"1992","12033","ESCAMBIA","Florida",26354,6.9843494511,30.3042345565
"1992","46099","MINNEHAHA","South Dakota",36445,26.4754652906,16.911992119
"1992","13059","CLARKE","Georgia",28640,20.583677686,30.9093840697
"1992","39113","MONTGOMERY","Ohio",120137,34.1628345325,17.9982289755
"1992","22051","JEFFERSON","Louisiana",78113,18.5240712977,21.2149775886
"1992","17119","MADISON","Illinois",44957,20.1871625089,23.4058482534
"1992","51760","RICHMOND (CITY)","Virginia",74757,27.7571894456,15.4085083377
"1992","48309","MC LENNAN","Texas",67120,19.2880075427,20.6321257466
"1992","48121","DENTON","Texas",29432,33.216168717,16.9324656601
"1992","37067","FORSYTH","North Carolina",88026,24.1295314515,19.7685195651
"1992","38017","CASS","North Dakota",30990,41.3461538462,15.9302325581
"1992","48245","JEFFERSON","Texas",61765,11.1010421386,26.2505723917
"1992","42095","NORTHAMPTON","Pennsylvania",57700,21.3159120009,19.6816208394
"1992","17167","SANGAMON","Illinois",37792,28.9978678038,16.2586553496
"1992","05131","SEBASTIAN","Arkansas",69560,23.0177082855,18.5306517776
"1992","50007","CHITTENDEN","Vermont",44010,23.2967898474,13.9307472599
"1992","47187","WILLIAMSON","Tennessee",48795,13.4713820382,24.9170687575
"1992","42079","LUZERNE","Pennsylvania",52485,15.5629139073,19.5131353991
"1992","55133","WAUKESHA","Wisconsin",62242,20.6918168588,13.8853780188
"1992","16001","ADA","Idaho",92546,11.8260813036,19.7077925368
"1992","39095","LUCAS","Ohio",55388,21.8848339674,17.3414025707
"1992","54039","KANAWHA","West Virginia",38770,15.3503814181,32.4171175098
"1992","01073","JEFFERSON","Alabama",291844,15.409240016,17.3205638841
"1992","05139","UNION","Arkansas",40496,24.4528014874,10.1975401576
"1992","48085","COLLIN","Texas",71043,19.0628188164,18.0642212992
"1992","42125","WASHINGTON","Pennsylvania",25802,21.6816499207,12.7854214566
"1992","01125","TUSCALOOSA","Alabama",32115,14.4981872966,20.4741601269
"1992","39153","SUMMIT","Ohio",75034,23.525016087,15.8340306148
"1992","44007","PROVIDENCE","Rhode Island",94368,16.7797165929,14.219263578
"1992","45045","GREENVILLE","South Carolina",63247,11.5235189534,20.917719572
"1992","12031","DUVAL","Florida",323706,23.8517436206,23.9569569497
"1992","18097","MARION","Indiana",411109,29.2336022531,21.9153370753
"1992","48485","WICHITA","Texas",39840,30.2862565238,20.3750314624
"1992","34009","CAPE MAY","New Jersey",32620,25.1469181358,24.86826886
"1992","48375","POTTER","Texas",61335,7.6756756757,29.3252328706
"1992","06079","SAN LUIS OBISPO","California",36321,31.4717564578,20.1082961957
"1992","45019","CHARLESTON","South Carolina",89940,15.7692356262,25.7750163809
"1992","12087","MONROE","Florida",41515,40.3513587702,17.9596238396
"1992","22073","OUACHITA","Louisiana",26518,18.5917447104,34.1094360692
"1992","26081","KENT","Michigan",226252,26.7804590936,23.7320963616
"1992","36101","STEUBEN","New York",30900,72.5738396624,17.3503389636
"1992","37051","CUMBERLAND","North Carolina",34573,18.8651306048,26.7225516254
"1992","51770","ROANOKE (CITY)","Virginia",39424,20.8915853337,23.3733919891
"1992","13139","HALL","Georgia",26740,23.6587690632,19.8650927487
"1992","42049","ERIE","Pennsylvania",48554,33.4218377905,22.2092037208
"1992","36029","ERIE","New York",258041,22.0523096174,18.2845076711
"1992","12105","POLK","Florida",71875,23.8917906601,23.857881915
"1992","36001","ALBANY","New York",73575,13.7474971019,28.3941800707
"1992","26065","INGHAM","Michigan",60624,26.7698908684,14.7279076014
"1992","13245","RICHMOND","Georgia",33275,28.9039563819,14.51144792
"1992","39061","HAMILTON","Ohio",389059,32.9974738621,18.5909576117
"1992","40109","OKLAHOMA","Oklahoma",354841,17.9719351406,24.3467197445
"1992","34035","SOMERSET","New Jersey",167758,21.4777495181,20.8979534825
"1992","22079","RAPIDES","Louisiana",41877,16.5289256198,27.3848935364
"1992","12095","ORANGE","Florida",202678,20.2465323619,20.4330315335
"1992","37081","GUILFORD","North Carolina",119233,30.6676578069,16.6993546224
"1992","42043","DAUPHIN","Pennsylvania",80976,22.6198718202,16.8991482533
"1992","25005","BRISTOL","Massachusetts",56288,20.8155147325,24.6413331138
"1992","42077","LEHIGH","Pennsylvania",94359,21.7090098216,24.6895467821
"1992","13135","GWINNETT","Georgia",35145,14.7920153,25.8932621607
"1992","40027","CLEVELAND","Oklahoma",37626,22.3635034799,16.0805001954
"1992","48381","RANDALL","Texas",29342,8.7982832618,21.5113416564
"1992","34027","MORRIS","New Jersey",327269,22.3924379446,19.7672242767
"1992","48303","LUBBOCK","Texas",35962,22.1169318791,22.7767966716
"1992","42003","ALLEGHENY","Pennsylvania",772217,20.3873926186,21.2863577895
"1992","01117","SHELBY","Alabama",25040,15.2542372881,23.0940489801
"1992","45079","RICHLAND","South Carolina",98512,19.1734709445,22.0995641069
"1992","34031","PASSAIC","New Jersey",77005,22.1915542823,16.5615265
"1992","47065","HAMILTON","Tennessee",117367,15.7927212392,21.5412187499
"1992","26099","MACOMB","Michigan",71619,26.0041378326,14.4426897606
"1992","28047","HARRISON","Mississippi",39688,22.8752185133,17.9730141579
"1992","29095","JACKSON","Missouri",210193,22.9945695966,16.5358906834
"1992","34017","HUDSON","New Jersey",84240,22.3271291417,9.8339461402
"1992","25025","SUFFOLK","Massachusetts",484008,19.5318697991,15.4219349538
"1992","47157","SHELBY","Tennessee",196057,20.9300718765,18.8192481776
"1992","51087","HENRICO","Virginia",72533,24.2874586771,18.2826325986
"1992","18039","ELKHART","Indiana",46226,22.4215246637,17.8596161456
"1992","01101","MONTGOMERY","Alabama",99922,16.064543767,20.0483592014
"1992","06041","MARIN","California",689199,41.8001966796,24.3206595279
"1992","09015","WINDHAM","Connecticut",34662,39.90767059,23.2018857106
"1992","24009","CALVERT","Maryland",26251,38.3927597863,36.7473435655
"1992","13063","CLAYTON","Georgia",42472,14.8148148148,40.2013376858
"1992","17143","PEORIA","Illinois",60879,21.6379211001,41.8602108862
"1992","26093","LIVINGSTON","Michigan",36929,22.5806451613,39.5830088338
"1992","35049","SANTA FE","New Mexico",155497,34.0588834562,46.4009142701
"1992","51095","JAMES CITY","Virginia",44861,41.4784394251,36.8968436328
"1992","39151","STARK","Ohio",131847,32.0683111954,40.6286197421
"1992","19101","JEFFERSON","Iowa",438762,10,0
"1992","18035","DELAWARE","Indiana",75434,30.4338202745,37.7297009731
"1992","51003","ALBEMARLE","Virginia",83151,43.1001890359,33.5827598995
"1992","24041","TALBOT","Maryland",28540,8.4705384086,19.9653207828
"1992","01089","MADISON","Alabama",72679,17.0953581259,15.6810974368
"1992","37147","PITT","North Carolina",28775,13.4500291857,20.3955500618
"1992","34023","MIDDLESEX","New Jersey",99966,18.601388474,10.8910330923
"1992","51710","NORFOLK (CITY)","Virginia",32460,14.8080479162,13.2535271484
"1992","06089","SHASTA","California",25921,27.989091431,38.6761361764
"1992","21195","PIKE","Kentucky",59200,30.7517084282,37.6124284546
"1992","42107","SCHUYLKILL","Pennsylvania",92790,24.2810634835,35.7261846793
"1992","12081","MANATEE","Florida",92444,36.9398767928,34.666928426
"1992","49049","UTAH","Utah",70948,35.1139335077,36.1811603549
"1992","06037","LOS ANGELES","California",10439244,33.8751886454,30.4880522767
"1992","55101","RACINE","Wisconsin",45684,27.007986739,32.0233846008
"1992","41039","LANE","Oregon",41368,50.2141327623,20.0244840853
"1992","36013","CHAUTAUQUA","New York",28683,72.7272727273,30.3925591574
"1992","33017","STRAFFORD","New Hampshire",28240,55.9440559441,28.9735428685
"1992","12115","SARASOTA","Florida",155557,44.2593564183,30.909285769
"1992","12085","MARTIN","Florida",96169,27.2888494791,34.4518814791
"1992","25015","HAMPSHIRE","Massachusetts",90928,39.4568889292,12.2215473513
"1992","42045","DELAWARE","Pennsylvania",635820,40.8414571575,29.1255579109
"1992","06075","SAN FRANCISCO","California",1965255,32.4221999921,28.783601975
"1992","16013","BLAINE","Idaho",33623,48.0428346917,19.9196054587
"1992","26049","GENESEE","Michigan",75306,31.1341082658,34.3389368469
"1992","05031","CRAIGHEAD","Arkansas",38722,31.2223841028,33.026902036
"1992","05143","WASHINGTON","Arkansas",165225,33.5152741781,32.6222102956
"1992","47163","SULLIVAN","Tennessee",30860,16.8038408779,41.0426937029
"1992","13127","GLYNN","Georgia",42886,47.8058821695,14.9267125337
"1992","36047","KINGS","New York",588809,30.8822037509,28.6606456572
"1992","06065","RIVERSIDE","California",330824,39.0543019238,27.7510861917
"1992","28049","HINDS","Mississippi",106750,12.6671660377,17.5888353554
"1992","36087","ROCKLAND","New York",99322,29.6293836344,20.2724853808
"1992","48423","SMITH","Texas",29690,9.0573568017,21.6800035965
"1992","36085","RICHMOND","New York",71281,35.7817745527,29.5608869085
"1992","12071","LEE","Florida",140317,45.2629376065,28.5343212154
"1992","24021","FREDERICK","Maryland",33118,35.4530106922,21.5940278845
"1992","08013","BOULDER","Colorado",127213,26.0671445696,32.3292657916
"1992","06067","SACRAMENTO","California",533188,30.5212711734,32.7198409116
"1992","42017","BUCKS","Pennsylvania",367246,36.6261612314,29.249675714
"1992","56039","TETON","Wyoming",43600,20.8399115883,20.0341005968
"1992","05069","JEFFERSON","Arkansas",39950,28.9165558072,30.4479900068
"1992","27123","RAMSEY","Minnesota",175334,31.3625871214,25.5928102316
"1992","17111","MC HENRY","Illinois",40773,31.0030395137,29.1777213644
"1992","36093","SCHENECTADY","New York",47024,66.2543451763,36.8144291949
"1992","34037","SUSSEX","New Jersey",42040,29.8089171975,31.3517376459
"1992","06111","VENTURA","California",286028,41.1470838454,25.4282121807
"1992","53063","SPOKANE","Washington",61704,14.9703015043,28.8480774617
"1992","13113","FAYETTE","Georgia",25819,23.6363636364,32.0419434884
"1992","24033","PRINCE GEORGE""S","Maryland",190891,29.7632067426,29.1241383343
"1992","12073","LEON","Florida",103506,22.6421521493,45.7158434403
"1992","06097","SONOMA","California",152025,44.6651448675,21.3519680548
"1992","18157","TIPPECANOE","Indiana",25537,41.4564753515,34.2357706246
"1992","12099","PALM BEACH","Florida",1231294,32.4400461828,27.7514076409
"1992","06077","SAN JOAQUIN","California",148458,35.1495680853,29.2003997722
"1992","18005","BARTHOLOMEW","Indiana",41427,23.4972677596,24.3391447889
"1992","31109","LANCASTER","Nebraska",78213,36.8594486463,18.0749909419
"1992","24031","MONTGOMERY","Maryland",1565932,31.6884200583,23.6082517365
"1992","37119","MECKLENBURG","North Carolina",253769,37.3737656699,22.9907205517
"1992","04027","YUMA","Arizona",26935,55.4896645205,27.8634854088
"1992","51510","ALEXANDRIA (CITY)","Virginia",393312,29.7242338306,25.5090696993
"1992","06013","CONTRA COSTA","California",459851,32.7758969225,25.5245229953
"1992","15003","HONOLULU","Hawaii",508145,30.0388678681,28.1176552235
"1992","26125","OAKLAND","Michigan",847536,29.924767287,26.5499588983
"1992","48329","MIDLAND","Texas",139047,8.1232492997,29.9406423054
"1992","36119","WESTCHESTER","New York",1379500,32.3663256379,20.3455885074
"1992","06059","ORANGE","California",1337978,34.1444364563,28.4028835619
"1992","48183","GREGG","Texas",26603,33.8927586368,27.5005098622
"1992","44005","NEWPORT","Rhode Island",31736,29.5836376917,39.1620037303
"1992","13051","CHATHAM","Georgia",42417,19.8635538138,8.7851339913
"1992","24027","HOWARD","Maryland",71604,36.2864068674,17.5395337463
"1992","41051","MULTNOMAH","Oregon",422798,34.4093707811,23.3234461478
"1992","42051","FAYETTE","Pennsylvania",31467,18.4568835098,31.3952592517
"1992","10003","NEW CASTLE","Delaware",283580,25.9017651573,31.4418240091
"1992","06107","TULARE","California",70750,31.2080863058,26.4207842373
"1992","53067","THURSTON","Washington",29854,28.3474809834,29.6292231028
"1992","34013","ESSEX","New Jersey",678367,25.9000106572,28.1587470415
"1992","08035","DOUGLAS","Colorado",30692,32.8265910848,25.6659537235
"1992","08005","ARAPAHOE","Colorado",257180,28.7975087002,26.7721295162
"1992","53033","KING","Washington",965598,32.2199562035,23.6058435295
"1992","09001","FAIRFIELD","Connecticut",1625699,35.6282372299,22.0999109063
"1992","17019","CHAMPAIGN","Illinois",43725,31.3580023523,18.0658543553
"1992","06019","FRESNO","California",206724,30.3885102278,24.6581976078
"1992","26163","WAYNE","Michigan",516782,22.4314599175,27.8884731853
"1992","12086","MIAMI-DADE","Florida",1471140,23.8969533999,30.6206821002
"1992","21131","LESLIE","Kentucky",27800,63.2911392405,100
"1992","13207","MONROE","Georgia",38400,36.3636363636,92.2222222222
"1992","36105","SULLIVAN","New York",209705,7.8223767383,13.8493157083
"1992","35017","GRANT","New Mexico",35999,66.8605141172,33.2778702163
"1992","25007","DUKES","Massachusetts",62103,52.2593768811,55.1724137931
"1992","41005","CLACKAMAS","Oregon",82285,35.8611680443,23.6939860597
"1992","45013","BEAUFORT","South Carolina",33335,22.337962963,18.2466666667
"1992","44001","BRISTOL","Rhode Island",51621,31.9879829379,19.0125111707
"1992","53061","SNOHOMISH","Washington",74228,25.8620469219,26.338197471
"1992","27053","HENNEPIN","Minnesota",778663,26.6540257494,21.6855474254
"1992","12005","BAY","Florida",43170,17.5192491315,36.8977288669
"1992","25021","NORFOLK","Massachusetts",304321,24.3407856887,28.2022359301
"1992","48113","DALLAS","Texas",1804527,24.153012081,25.8673671839
"1992","37021","BUNCOMBE","North Carolina",56003,28.304172571,20.0702712267
"1992","06095","SOLANO","California",46539,20.2242969373,30.496639936
"1992","18163","VANDERBURGH","Indiana",64213,22.9532163743,27.0661674184
"1992","04013","MARICOPA","Arizona",755165,26.0583000718,26.3186830789
"1992","37183","WAKE","North Carolina",149943,30.5498634645,24.7701014302
"1992","42063","INDIANA","Pennsylvania",36065,9.334530674,71.5783307125
"1992","27137","ST. LOUIS","Minnesota",55785,36.1328125,56.0613695433
"1992","08097","PITKIN","Colorado",115747,50.0367447168,43.9543726236
"1992","50003","BENNINGTON","Vermont",36652,61.0999665664,38.3111111111
"1992","18105","MONROE","Indiana",56439,27.3222714223,56.0328717776
"1992","13275","THOMAS","Georgia",83361,69.4246314788,46.4204828373
"1992","36079","PUTNAM","New York",32254,57.451981522,43.9370683039
